epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.618,0.87657,1.65347,1.1617,0.77823,0.71592,0.79448,0.59995,0.80797,1.25351,1.17586,0.000662281,0.000662281,0.000662281
2,247.61,0.7218,1.02605,1.04954,0.75025,0.69825,0.755,0.56398,0.82061,1.16333,1.18196,0.00119738,0.00119738,0.00119738
3,365.832,0.68843,0.84852,1.03399,0.79332,0.70318,0.79356,0.60671,0.78801,1.11536,1.1444,0.00160048,0.00160048,0.00160048
4,480.342,0.65344,0.76285,1.01123,0.85396,0.824,0.88468,0.71975,0.6003,0.64896,0.99897,0.001406,0.001406,0.001406
5,595.498,0.60077,0.66745,0.98154,0.85872,0.84323,0.90543,0.75897,0.53889,0.56896,0.9614,0.001208,0.001208,0.001208
6,710.241,0.5726,0.60894,0.9647,0.87626,0.86204,0.92691,0.7925,0.499,0.50994,0.93623,0.00101,0.00101,0.00101
7,826.034,0.53304,0.55596,0.94598,0.87534,0.88043,0.93026,0.80338,0.47241,0.46798,0.92672,0.000812,0.000812,0.000812
8,942.916,0.51019,0.51838,0.93567,0.89151,0.9097,0.94646,0.81175,0.45873,0.4331,0.91879,0.000614,0.000614,0.000614
9,1057.76,0.48345,0.48387,0.91773,0.90316,0.9143,0.95276,0.83165,0.4359,0.39798,0.90804,0.000416,0.000416,0.000416
10,1173.23,0.46283,0.45505,0.91333,0.91644,0.91239,0.95952,0.85251,0.40747,0.35856,0.89458,0.000218,0.000218,0.000218
